ID,Team,AfterTimeOuts(ATO),HalfCourtSetAll,HalfCourtSetAll-NoPts,HalfCourtSetAll-Pts,HalfCourtSetvs.Zone-NoPts,HalfCourtSetvs.Man,HalfCourtSetvs.Man-NoPts,HalfCourtSetvs.Man-Pts,HalfCourtSetvs.Zone,HalfCourtSetvs.Zone-Pts,Last4Sec.ofShotClock,OutofBounds,OutofBounds(End),OutofBounds(Side),TotalPoints,Win,Season,AllPushBall,PressOffense,PushBallfromShotAttempt,PushBallfromTurnover,PushBalltoHalfCourtOff.,TransitionOffense,TransitionTurnover,2FGAttempts,2FGMade,2FGMissed,3FGAttempts,3FGMade,3FGMissed,AllFreeThrows,FGAttempts,FGMade,FGMissed,GuardedJumpShots,Unguarded Jump Shots,LiveFreeThrows,LongJumpShots,MediumJumpShots,ShortJumpShots,AllIsolation,AllOffensiveRebounds,AllP&RBallHandler,AllPossessionClips,AllPost-Up,Cuts,Handoffs,Isolation-DefenseCommits,Isolation-SingleCovered,MiscellaneousPossessions,OffScreens,Off.Reb.-PutBacks,Off.Reb.-ResetOffense,P&RBallHandler-DefenseCommits,P&RBallHandler-SingleCovered,P&RBallHandler-Traps,P&RRollMan,Post-Up-DefenseCommits,Post-Up-HardDoubleTeam,Post-Up-SingleCovered,SpotUps,Transitions,Assists,Blocks,DefensiveRebounds,NoPoints,NonPossessions,OffensiveRebounds,Points,Steals,StolenPossessions,TotalRebounds,Turnovers
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233546,Algoma Thunderbirds,11,77,55,22,5,70,50,20,7,2,9,10,4,6,57,0,2015-2016,19,11,11,8,7,10,2,44,9,35,22,9,13,20,66,18,48,15,5,10,22,12,7,15,13,12,89,6,3,3,5,10,8,10,6,7,2,10,0,0,0,0,6,21,12,5,6,16,63,35,10,26,13,6,26,9
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233546,Brock Badgers,7,69,43,26,0,67,43,24,2,2,8,23,15,8,64,1,2015-2016,25,8,22,3,8,9,8,36,17,19,18,7,11,16,54,24,30,10,9,8,18,4,5,9,9,7,86,12,4,1,3,6,9,10,2,7,6,1,0,1,2,1,9,20,17,4,3,26,55,51,9,31,6,13,35,20
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233547,Algoma Thunderbirds,8,70,47,23,0,70,47,23,0,0,10,12,5,7,56,0,2015-2016,33,16,26,7,17,14,2,33,11,22,22,6,16,22,55,17,38,19,4,11,23,9,6,12,7,15,86,7,4,1,3,9,13,10,3,4,9,6,0,3,1,2,4,15,16,2,2,24,61,45,2,26,8,9,26,20
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233547,McMaster Marauders,6,59,38,21,7,50,31,19,9,2,2,13,5,8,86,1,2015-2016,48,10,38,10,14,30,4,38,19,19,24,10,14,32,62,29,33,20,5,16,26,3,8,10,11,10,93,7,5,0,3,7,6,3,5,6,6,4,0,1,1,2,4,23,34,5,1,26,53,49,9,40,9,8,35,16
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233548,Algoma Thunderbirds,12,81,58,23,0,81,58,23,0,0,5,14,6,8,70,0,2015-2016,37,5,29,8,16,16,5,42,14,28,26,7,19,28,68,21,47,11,14,13,28,6,8,14,10,14,102,7,4,4,7,7,10,11,6,4,5,9,0,4,1,1,5,16,21,6,1,33,71,51,8,33,11,9,41,18
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233548,Wilfrid Laurier,11,81,53,28,0,81,53,28,0,0,10,11,5,6,79,1,2015-2016,49,5,39,10,17,24,8,62,20,42,19,7,12,25,81,27,54,12,8,12,20,9,7,2,20,15,113,12,14,3,2,0,8,4,10,10,11,4,0,7,1,0,11,18,32,5,2,33,74,52,16,39,9,11,49,16
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233549,Algoma Thunderbirds,10,72,53,19,2,69,51,18,3,1,5,11,7,4,62,0,2015-2016,34,17,26,8,14,16,4,51,15,36,18,5,13,19,69,20,49,13,1,10,18,11,8,8,7,18,92,9,6,3,2,6,10,7,5,2,6,12,0,2,1,0,8,13,20,6,3,25,63,36,5,29,9,7,30,15
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233549,Wilfrid Laurier,10,66,38,28,0,65,38,27,1,1,4,13,9,4,80,1,2015-2016,35,23,29,6,6,22,7,42,20,22,26,8,18,23,68,28,40,17,8,12,26,4,7,9,11,8,95,5,7,9,1,8,7,7,4,7,5,3,0,1,2,0,3,15,29,5,4,35,57,44,11,38,7,9,46,11
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233550,Carleton University Ravens,7,75,44,31,6,68,38,30,7,1,3,10,7,3,75,1,2015-2016,27,3,20,7,12,10,5,50,26,24,16,5,11,9,66,31,35,7,3,5,16,2,5,12,16,13,90,16,12,1,4,8,7,0,9,7,6,7,0,4,2,5,9,13,15,14,5,26,55,28,15,35,9,10,41,15
https://www.synergysportstech.com/Synergy/Sport/Basketball/web/teamsst/Video/GameGrid2.aspx?iGameID=233550,Algoma Thunderbirds,8,65,46,19,0,65,46,19,0,0,12,7,4,3,51,0,2015-2016,19,23,11,8,4,10,5,43,16,27,12,4,8,9,55,20,35,6,4,4,13,10,11,15,6,14,80,5,6,5,6,9,5,5,4,2,8,6,0,3,2,1,2,17,15,5,2,14,56,17,5,24,10,9,19,19
